province_zh,geo_code,candidate_url,asset_kind,local_sample_path,file_hash_sha256,status,missing_reason,notes
黑龙江省,23,https://tjj.hlj.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.hlj.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
江苏省,32,https://tjj.jiangsu.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.jiangsu.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
浙江省,33,https://tjj.zj.gov.cn/col/col1229454049/index.html,HTML_TABLE,,,BLOCKED,"URL https://tjj.zj.gov.cn/col/col1229454049/index.html → http 404 (site map changed); cross-check stats.zj.gov.cn/art/ 年报索引页; URL to be located manually. URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：[Safari/macOS] http 404
安徽省,34,https://tjj.ah.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.ah.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
福建省,35,https://tjj.fujian.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.fujian.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
江西省,36,https://tjj.jx.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.jx.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
山东省,37,http://tjj.shandong.gov.cn/art/2025/3/5/art_6196_10316729.html,HTML_TABLE,data/seed_archives/m2_2024_gdp/37_shandong_gdp_bulletin_2024.html,6ffaaffb3a0e9bd41b082da088aadc9eb0b8e2327b99852d210d45dffd9364ab,FETCHED,,M2-c 635-C 锁 SHA；山东省 2024 公报；value= 亿元
河南省,41,https://tjj.henan.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.henan.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
湖北省,42,http://tjj.hubei.gov.cn/tjsj/tjgb/ndtjgb/qstjgb/202503/t20250321_5585085.shtml,HTML_TABLE,data/seed_archives/m2_2024_gdp/42_hubei_gdp_bulletin_2024.html,3022e7cacdd44dce8a17a50d37aba783d9fa47dbee6f24c0118c8804b89bfdd0,FETCHED,,M2-c 635-C 锁 SHA；湖北省 2024 公报；value= 亿元
湖南省,43,https://tjj.hunan.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.hunan.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
广东省,44,https://tjj.gd.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.gd.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
广西壮族自治区,45,https://tjj.gxzf.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.gxzf.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
海南省,46,https://tjj.hainan.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.hainan.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
四川省,51,https://tjj.sc.gov.cn/scstjj/c112126/2025/3/17/35d7e3f9f0c34555a09c002535c26842.shtml,HTML_TABLE,data/seed_archives/m2_2024_gdp/51_sichuan_gdp_bulletin_2024.html,915c1b4537b3620c32c86c7c81d12197bd387af31b2905e83fb0196638c22379,FETCHED,,M2-c 635-C 锁 SHA；四川省 2024 公报；value= 亿元
贵州省,52,https://tjj.guizhou.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.guizhou.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
云南省,53,https://tjj.yn.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.yn.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
西藏自治区,54,https://tjj.xizang.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.xizang.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
陕西省,61,https://tjj.shaanxi.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.shaanxi.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
甘肃省,62,https://tjj.gansu.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.gansu.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
青海省,63,https://tjj.qinghai.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.qinghai.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
宁夏回族自治区,64,https://tjj.nx.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.nx.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
新疆维吾尔自治区,65,https://tjj.xinjiang.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.xinjiang.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
